Actividad de Consumo;Canal;CEDI;Código Cuenta Clave;Cuenta Clave;Cliente;Código Cliente;Código CUIT;Código Domicilio;Código Número;Código Postal;Código Territorio;Jefe Desarrollador;Latitud;Longitud;Lista de Precios;Outnum;Pack-Local;Sub-Canal;Tamaño de Cliente;Territorio;Zona
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125167;30590360763;AV AMERICA ESQ AV BELGRAN;;40000;03;GALLARDO, IVAN ANDRES;-26,809389;-65,248123;310031;3125167;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125168;30590360763;AV COLON;651;40000;03;GALLARDO, IVAN ANDRES;-26,834509;-65,234673;310031;3125168;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003198480;30590360763;FERMIN CARIOLA;42;41070;03;GONZALEZ, GERARDO;-26,82224;-65,267455;310446;3198480;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3100003125044;30687310434;24 DE SEPTIEMBRE;651;40000;03;GALLARDO, IVAN ANDRES;-26,830539;-65,207028;310036;3125044;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3100003125046;30687310434;SAN MARTIN;344;40000;03;GALLARDO, IVAN ANDRES;-26,830115;-65,202171;310036;3125046;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3100003125055;30687310434;CATAMARCA;1116;40000;03;GALLARDO, IVAN ANDRES;-26,814199;-65,208676;310036;3125055;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3100003125074;30687310434;AV ACONQUIJA;1597;41070;03;GALLARDO, IVAN ANDRES;-26,813471;-65,292617;310036;3125074;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;3100003125094;30578411174;AVDA JUAN B JUSTO;1151;40000;03;GALLARDO, IVAN ANDRES;-26,817058;-65,193308;310035;3125094;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;3100003125095;30578411174;AVDA ROCA;3057;40000;03;GALLARDO, IVAN ANDRES;-26,834908;-65,247863;310035;3125095;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;3100003125096;30578411174;AVDA ALEM;1796;40000;03;GALLARDO, IVAN ANDRES;-26,852543;-65,224252;310035;3125096;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;3100003125097;30578411174;AVDA BELGRANO;3330;40000;03;GALLARDO, IVAN ANDRES;-26,810439;-65,243425;310035;3125097;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;001238;VEA                          1;CENCOSUD S A                 ;5100005127501;30590360763; AV. BELGRANO Y R. LUNA;;47000;05;SORGINI, ADRIAN ALFREDO;-28,45948;-65,771823;510031;5127501;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;001238;VEA                          1;CENCOSUD S A                 ;5100005127502;30590360763;RIVADAVIA 986;;47000;05;SORGINI, ADRIAN ALFREDO;-28,45948;-65,771823;510031;5127502;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;001238;VEA                          1;CENCOSUD S A                 ;5100005127503;30590360763;V. SEGURA Y AV. GUEMES;;47000;05;SORGINI, ADRIAN ALFREDO;-28,45948;-65,771823;510031;5127503;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;001238;VEA                          1;CENCOSUD S A                 ;5100005127504;30590360763;F. FIGUEROA Y PJE S. LEON;;47000;05;SORGINI, ADRIAN ALFREDO;-28,45948;-65,771823;510031;5127504;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;001238;VEA                          1;CENCOSUD S A                 ;5100005127505;30590360763;AV PTE CASTILLO  1600;;47070;05;SORGINI, ADRIAN ALFREDO;-28,45948;-65,771823;510031;5127505;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;5100005113638;30687310434;RIVADAVIA 949;;47000;05;SORGINI, ADRIAN ALFREDO;-28,472733;-65,778162;510036;5113638;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;5100005113639;30687310434;AV. H. IRIGOYEN S/N;;47000;05;SORGINI, ADRIAN ALFREDO;-28,477055;-65,777815;510036;5113639;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;5100005130108;30687310434;AV. SAN MARTIN 450;;47000;05;SORGINI, ADRIAN ALFREDO;-28,464504;-65,758628;510036;5130108;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Catamarca;004947;WAL*MART                     1;DORINKA S.R.L.;5100005122737;30678138300;AV ACOSTA VILLAFAÑEZ;;47000;05;SORGINI, ADRIAN ALFREDO;-28,466613;-65,755238;510038;5122737;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Catamarca;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Clorinda;004947;WAL*MART                     1;DORINKA S.R.L.;7300001014997;30678138300;AV.TUCUMAN;201;03610;07;BRIZUELA NICOLAS;-25,28793;-57,724333;730038;1014997;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Formosa;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Concepción;001238;VEA                          1;CENCOSUD S A                 ;3200003297300;30590360763;RIVADAVIA;46;41460;03;FARA, MIGUEL GUSTAVO;-27,345486;-65,59474;320031;3297300;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Concepción;001238;VEA                          1;CENCOSUD S A                 ;3200003297301;30590360763;ALBERDI;241;41420;03;FARA, MIGUEL GUSTAVO;-27,169803;-65,499031;320031;3297301;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;001238;VEA                          1;CENCOSUD S A;3000003400330;30590360763;REGUERA ESQUINA MITRE;S/N;34000;09;ESCOBAR JAVIER;0;0;910031;3400330;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3000003015312;30687310434;JUNIN;1330;34000;09;ESCOBAR JAVIER;-27,467733;-58,834835;910036;3015312;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003018564;30685849751;PERELLO;279;34000;09;VALLEJOS MAURICIO;-27,466591;-58,80005;910034;3018564;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003021508;30685849751;BUENOS AIRES;669;34000;09;BRES FEDERICO;-27,466591;-58,80005;910034;3021508;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003023699;30685849751;SAN MARTIN;646;34000;09;BRES FEDERICO;-27,466591;-58,80005;910034;3023699;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003024210;30685849751;J M COSSIO;1042;34000;09;BRES FEDERICO;-27,466591;-58,80005;910034;3024210;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003024278;30685849751;ALTO PERU;SN;34000;09;ZALAZAR RODRIGO;-27,954047;-58,808388;910034;3024278;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003024377;30685849751;SARMIENTO;535;34000;09;VALLEJOS MAURICIO;0;0;910034;3024377;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003024441;30685849751;LIBERTAD;5301;34000;09;ESCOBAR JAVIER;-27,466591;-58,80005;910034;3024441;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA S A;3000003024475;30685849751;RIOJA Y MORENO;SN;34000;09;ZALAZAR RODRIGO;-27,317895;-58,571557;910034;3024475;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Corrientes;098760;DIA %                        1;DIA ARGENTINA SA;3000003029907;30685849751;MANCINI;415;34000;09;BRES FEDERICO;0;0;910034;3029907;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Formosa;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1000001012406;30687310434;ESPAÑA;160;36000;07;GONZALEZ GUILLERMO;-26,181384;-58,166287;710036;1012406;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Formosa;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Formosa;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1000001012876;30687310434;AVDA DR LUIS GUTNISKI;2010;36000;07;GONZALEZ GUILLERMO;-26,189602;-58,187224;710036;1012876;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Formosa;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Formosa;004947;WAL*MART                     1;DORINKA S.R.L.;1000001013129;30678138300;AV GUTNISKY;3550;36000;07;GONZALEZ GUILLERMO;-26,194513;-58,202302;710038;1013129;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Formosa;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Formosa;004947;WAL*MART                     1;DORINKA S.R.L.;1000001014040;30678138300;AV.MARADONA Y SOMACAL;S/N;36000;07;GONZALEZ GUILLERMO;-26,150098;-58,160795;710038;1014040;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Formosa;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Goya;001238;VEA                          1;CENCOSUD S A                 ;9200003042920;30590360763;BELGRANO;799;03450;09;RIQUELME NATALIA;-29,141527;-59,265063;920031;3042920;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Goya;098760;DIA %                        1;DIA ARGENTINA S A;9200003020235;30685849751;ESPAÑA;347;03450;09;RIQUELME NATALIA;-29,145518;-59,262665;920034;3020235;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Joaquín V. González;098760;DIA %                        1;DIA ARGENTINA S A;1300001151401;30685849751;AV GRAL GUEMES;170;44000;01;NEVA, PABLO DANIEL;-25,119326;-64,125852;130034;1151401;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;001238;VEA                          1;CENCOSUD S A                 ;2100002169048;30590360763;DR.CARRILLO ESQ.DR.VIDAL;;46000;02;BRITO DARDO LUCIO;-24,187592;-65,322515;210031;2169048;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;001238;VEA                          1;CENCOSUD S A                 ;2100002169049;30590360763;GUEMES N.955 CENTRO;;46000;02;BRITO DARDO LUCIO;-24,182807;-65,3075;210031;2169049;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;001238;VEA                          1;CENCOSUD S A                 ;2100002169050;30590360763;AV.EXODO N.423 B.GORRITI;;46000;02;BRITO DARDO LUCIO;-24,195026;-65,297995;210031;2169050;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;2100002116361;30687310434;ALVEAR ESQ.BALCARCE 601 C;;46000;02;BRITO DARDO LUCIO;-24,184236;-65,307767;210036;2116361;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;2100002116365;30687310434;AVDA 19 DE ABRIL 779 CENT;;46000;02;BRITO DARDO LUCIO;-24,188915;-65,305889;210036;2116365;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;2100002174446;30687310434;COLECTORA EJERCITO DEL NO;1545;46000;02;BRITO DARDO LUCIO;-24,199181;-65,311737;210036;2174446;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;004947;WAL*MART                     1;DORINKA S.R.L.;2100002129873;30678138300;RIO BAMBA Y PTE PERON;;46000;02;BRITO DARDO LUCIO;-24,209797;-65,291173;210038;2129873;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002102266;30578411174;NECOCHEA Nº 445;;46000;02;BRITO DARDO LUCIO;-24,183641;-65,306257;210035;2102266;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002112078;30578411174;DR CARRILLO 371 B° C.DE N;;46000;02;BRITO DARDO LUCIO;-24,187433;-65,321876;210035;2112078;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002112089;30578411174;GUEMES 1178- CENTRO;;46000;02;BRITO DARDO LUCIO;-24,183452;-65,311556;210035;2112089;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002112117;30578411174;R.SOLORZANO ESQ.PICHINCHA;;46000;02;BRITO DARDO LUCIO;-24,19984;-65,290107;210035;2112117;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002112136;30578411174;AV.CORRIENTE 2380;;46000;02;BRITO DARDO LUCIO;-24,212934;-65,278198;210035;2112136;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002114284;30578411174;AV.CARLOS UNDIANO 743 A.C;;46000;02;BRITO DARDO LUCIO;-24,237127;-65,264211;210035;2114284;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002161278;30578411174;AVDA ILLIA 145 ESQ. EL CA;;46000;02;BRITO DARDO LUCIO;-24,170371;-65,313443;210035;2161278;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002163051;30578411174;AV.CORRIENTES N.3141;;46000;02;BRITO DARDO LUCIO;-24,212934;-65,278198;210035;2163051;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002164534;30578411174;RUTA 66 KM 1.5 PALPALA;;46120;02;BRITO DARDO LUCIO;-24,247517;-65,235557;210035;2164534;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002166269;30578411174;AVDA BALBIN 2228 BAJO LA;;46000;02;BRITO DARDO LUCIO;-24,178692;-65,289176;210035;2166269;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002167238;30578411174;RIO BAMBA ESQ.COTAGAITA;;46000;02;BRITO DARDO LUCIO;-24,206926;-65,286357;210035;2167238;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002167711;30578411174;GOB.TELLO N°347 B° SAN PE;;46000;02;BRITO DARDO LUCIO;-24,20527;-65,275535;210035;2167711;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002167901;30578411174;LAS VICUÑAS N.551 CHIJRA;;46000;02;BRITO DARDO LUCIO;-24,172134;-65,297294;210035;2167901;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2100002169091;30578411174;EXODO N.863 GORRITI;;46000;02;BRITO DARDO LUCIO;-24,193473;-65,301132;210035;2169091;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2200002133020;30578411174;CNEL.ARIAS N.406 B.CENTRO;;46080;02;BRITO DARDO LUCIO;-24,37869;-65,120974;210035;2133020;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2200002165561;30578411174;BELGRANO ESQ.9 DE JULIO P;;46080;02;BRITO DARDO LUCIO;-24,24454;-65,33829;210035;2165561;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2100002168348;30685849751;OLAVARRIA 390 B° M.MORENO;;46000;02;SALAS, ALBERTO FABIAN;-24,196878;-65,309478;210034;2168348;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2100002168483;30685849751;AV.MARTIJENA ESQ.REP.DE L;;46120;02;SALAS, ALBERTO FABIAN;-24,252355;-65,205414;210034;2168483;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2100002168539;30685849751;SAN MARTIN 310;;46080;02;BORTOT, RUBEN EVARISTO;-24,377531;-65,118992;210034;2168539;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2100002170081;30685849751;AV.INDEPENDENCIA 440-MONT;;46080;02;BORTOT, RUBEN EVARISTO;-24,443507;-65,16754;210034;2170081;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2100002170369;30685849751;ALTE.BROWN N.483;;46000;02;SALAS, ALBERTO FABIAN;-24,19443;-65,289622;210034;2170369;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Jujuy;098760;DIA %                        1;DIA ARGENTINA S A;2200002201124;30685849751;BELGRANO N° 520 EL CARMEN;;46080;02;BORTOT, RUBEN EVARISTO;-24,387766;-65,265021;210034;2201124;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal La Rioja;001238;VEA                          1;CENCOSUD S A;6100006137689;30590360763;AV. LAPRIDA ESQ. ARTIGAS;;53000;06;GUIA, FABIAN MARCELO;-29,430518;-66,85385;610031;6137689;SUPER & HIPER;SUPERMERCADOS DE CADENA;;La Rioja;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal La Rioja;001238;VEA                          1;CENCOSUD S A;6100006137690;30590360763;AV. ALEM N°678;;53000;06;GUIA, FABIAN MARCELO;-29,40178;-66,852188;610031;6137690;SUPER & HIPER;SUPERMERCADOS DE CADENA;;La Rioja;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal La Rioja;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;6100006125330;30687310434;25 DE MAYO 151;;53000;06;GUIA, FABIAN MARCELO;-29,411651;-66,856531;610036;6125330;SUPER & HIPER;SUPERMERCADOS DE CADENA;;La Rioja;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal La Rioja;004947;WAL*MART                     1;DORINKA S.R.L.;6100006130130;30678138300;AV. O.DE OCAMPO Y PELLEGR;;53000;06;GUIA, FABIAN MARCELO;-29,427373;-66,8621;610038;6130130;SUPER & HIPER;SUPERMERCADOS DE CADENA;;La Rioja;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Sucursal Ledesma;001238;VEA                          1;CENCOSUD S A                 ;2400002221116;30590360763;ENTRE RIOS 375 LEDESMA;;45120;02;VIDAL, MARCELO ALEJANDRO;0;0;240031;2221116;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Ledesma;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2400002140228;30578411174;LIBERTAD Y ANTARTIDA-LEDE;;45120;02;VIDAL, MARCELO ALEJANDRO;0;0;240035;2140228;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Metán;098760;DIA %                        1;DIA ARGENTINA S A;1200001151608;30685849751;CAP.JOSE SIERRA SUC.8014;126;44400;01;ACEVEDO, HUGO GABRIEL;-25,499203;-64,970466;120034;1151608;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Metán;098760;DIA %                        1;DIA ARGENTINA S A;1200001171357;30685849751;SAN MARTIN;162;44400;01;ACEVEDO, HUGO GABRIEL;-25,802257;-64,976371;120034;1171357;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Orán;001238;VEA                          1;CENCOSUD S A                 ;2500002232470;30590360763;GUEMES ESQ.20 E FEBRERO O;;45300;02;ZALAZAR, ADOLFO EDUARDO;0;0;250031;2232470;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Orán;004947;WAL*MART                     1;DORINKA S.R.L.;2500002230223;30678138300;AV.PALACIOS Y PUEYRREDON;;45300;02;ZALAZAR, ADOLFO EDUARDO;0;0;250038;2230223;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Orán;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2500002232400;30578411174;ARENALES ESQ.LAPRIDA B° P;;45300;02;ZALAZAR, ADOLFO EDUARDO;0;0;250035;2232400;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Posadas;004947;WAL*MART                     1;DORINKA S.R.L.;4000004026740;30678138300;T DE TACUARI;5198;33000;10;SERFATY GUSTAVO;-27,367335;-55,926588;970038;4026740;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Misiones;Argentina Este
